analysis,outcome,scale,mean_broad,mean_specialized,estimate,se,ci_low,ci_high,bootstrap_ci_low,bootstrap_ci_high,n,journals,support,origin,window_definition
aipw_scope_gap_2,near,absolute,,,-0.09839171825607954,0.1147264488014738,-0.32325555790696814,0.1264721213948091,-0.3049880518141087,0.1366434280367158,1354905,18035,0.5154697418970464,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_2,near,log_mean_ratio,,,-0.05205809949715835,0.05934396787453506,-0.16837227653124706,0.06425607753693036,-0.15845191211727275,0.0696105103946247,1354905,18035,0.5154697418970464,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_2,near,relative_percent,,,-5.072628708468866,,-15.496081213714646,6.6365436034984455,-14.653599591890412,7.209053180627718,1354905,18035,0.5154697418970464,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_2,far,mean_broad,,,2.8738243960786765,0.17626473518460262,2.5283455151168552,3.2193032770404977,2.505960351228744,3.2395831946744744,1354905,18035,0.5154697418970464,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_2,far,mean_specialized,,,2.504014851388192,0.09420275936702027,2.3193774430288325,2.6886522597475517,2.321308847444815,2.6725557989231845,1354905,18035,0.5154697418970464,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_2,far,absolute,,,-0.36980954469048427,0.1473383571401602,-0.6585927246851982,-0.08102636469577029,-0.6568934177976623,-0.06823566002377583,1354905,18035,0.5154697418970464,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_2,far,log_mean_ratio,,,-0.13774830062697593,0.05141260501528182,-0.2385170064569283,-0.03697959479702358,-0.23630097823959123,-0.032882697423189194,1354905,18035,0.5154697418970464,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_2,far,relative_percent,,,-12.868202566415961,,-21.22047094634593,-3.6304200443175825,-21.04569970954027,-3.234793898788983,1354905,18035,0.5154697418970464,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_2,far_near_routing,log_ratio_contrast,,,-0.08569020112981757,0.0280483819205358,-0.14066502969406774,-0.030715372565567396,-0.141579839361335,-0.03281079387716178,1354905,18035,0.5154697418970464,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_3,near,mean_broad,,,2.085601832583589,0.12577376674667773,1.839085249760101,2.3321184154070775,1.8371691674474906,2.3361625079148647,1131013,17340,0.4375264988688658,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_3,near,mean_specialized,,,2.080776251920992,0.10455152558208647,1.8758552617801023,2.285697242061881,1.880537764799262,2.302018556859626,1131013,17340,0.4375264988688658,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_3,near,absolute,,,-0.004825580662597702,0.1131327525379773,-0.2265657756370332,0.2169146143118378,-0.2119868654171078,0.22927374537933912,1131013,17340,0.4375264988688658,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_3,near,log_mean_ratio,,,-0.002316440189785636,0.05428364406443371,-0.1087123825560757,0.10407950217650443,-0.10170001263538439,0.10989118082172677,1131013,17340,0.4375264988688658,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_3,near,relative_percent,,,-0.23137593126392608,,-10.301163009716714,10.96886740735597,-9.669951023877774,11.615660460554658,1131013,17340,0.4375264988688658,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_3,far,mean_broad,,,2.763745701159607,0.2069739715778893,2.358076716866944,3.16941468545227,2.332811681246536,3.16866974891377,1131013,17340,0.4375264988688658,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_3,far,mean_specialized,,,2.4177071998938495,0.10037829644222597,2.2209657388670867,2.6144486609206123,2.2330664398084332,2.614794125684277,1131013,17340,0.4375264988688658,internal/reach_followup_v5/scope_components.csv,
aipw_scope_gap_3,far,absolute,,,-0.346038501265757,0.18961334676267982,-0.7176806609206094,0.025603658389095396,-0.7047707323365973,0.04972500427004966,1131013,17340,0.4375264988688658,internal/reach_followup_v5/scope_components.csv,
